
Configuracao com 5 neuronios =============================================
Configuracao com 5 neuronios =============================================
Run: 1 - Acuracia: 0.9
Run: 2 - Acuracia: 0.9
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.9333333333333333
Run: 5 - Acuracia: 0.7666666666666667
Run: 6 - Acuracia: 0.8333333333333334
Run: 7 - Acuracia: 0.9
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 0.7666666666666667
Run: 10 - Acuracia: 0.9666666666666667
Configuracao com 10 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.9
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9666666666666667
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 1.0
Run: 10 - Acuracia: 0.9666666666666667
Configuracao com 15 neuronios =============================================
Run: 1 - Acuracia: 0.8333333333333334
Run: 2 - Acuracia: 0.9
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9333333333333333
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.9666666666666667
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 20 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 0.9333333333333333
Run: 3 - Acuracia: 0.9333333333333333
Run: 4 - Acuracia: 1.0
Run: 5 - Acuracia: 1.0
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.9333333333333333
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 25 neuronios =============================================
Run: 1 - Acuracia: 0.9
Run: 2 - Acuracia: 1.0
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.9
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 1.0
Run: 7 - Acuracia: 0.9666666666666667
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.8666666666666667
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 30 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 0.9
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.9
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.8333333333333334
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.9
Run: 9 - Acuracia: 0.9666666666666667
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 35 neuronios =============================================
Run: 1 - Acuracia: 0.9666666666666667
Run: 2 - Acuracia: 0.9333333333333333
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.9333333333333333
Run: 5 - Acuracia: 1.0
Run: 6 - Acuracia: 0.8666666666666667
Run: 7 - Acuracia: 0.9
Run: 8 - Acuracia: 0.9
Run: 9 - Acuracia: 1.0
Run: 10 - Acuracia: 0.9
Configuracao com 40 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 0.9333333333333333
Run: 3 - Acuracia: 1.0
Run: 4 - Acuracia: 0.9
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.8666666666666667
Run: 7 - Acuracia: 0.9666666666666667
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 0.9
Configuracao com 45 neuronios =============================================
Run: 1 - Acuracia: 0.9
Run: 2 - Acuracia: 0.9666666666666667
Run: 3 - Acuracia: 0.9
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.7333333333333333
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 0.9
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.9666666666666667
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 50 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.9333333333333333
Run: 4 - Acuracia: 0.8
Run: 5 - Acuracia: 0.8666666666666667
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.9
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 5 neuronios =============================================
Run: 1 - Acuracia: 0.7666666666666667
Run: 2 - Acuracia: 0.8333333333333334
Run: 3 - Acuracia: 0.8333333333333334
Run: 4 - Acuracia: 0.8333333333333334
Run: 5 - Acuracia: 0.9666666666666667
Run: 6 - Acuracia: 0.7333333333333333
Run: 7 - Acuracia: 0.8333333333333334
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.8
Run: 10 - Acuracia: 0.8
Configuracao com 10 neuronios =============================================
Run: 1 - Acuracia: 0.9666666666666667
Run: 2 - Acuracia: 1.0
Run: 3 - Acuracia: 0.9
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 0.9333333333333333
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 0.9
Run: 10 - Acuracia: 0.9
Configuracao com 15 neuronios =============================================
Run: 1 - Acuracia: 0.8666666666666667
Run: 2 - Acuracia: 0.9666666666666667
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.9666666666666667
Run: 7 - Acuracia: 0.9333333333333333
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 0.9666666666666667
Run: 10 - Acuracia: 1.0
Configuracao com 20 neuronios =============================================
Run: 1 - Acuracia: 0.9666666666666667
Run: 2 - Acuracia: 0.9
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 1.0
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 1.0
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.8333333333333334
Run: 10 - Acuracia: 0.9666666666666667
Configuracao com 25 neuronios =============================================
Run: 1 - Acuracia: 0.9333333333333333
Run: 2 - Acuracia: 1.0
Run: 3 - Acuracia: 1.0
Run: 4 - Acuracia: 0.9333333333333333
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.8666666666666667
Run: 7 - Acuracia: 1.0
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.8666666666666667
Run: 10 - Acuracia: 0.9666666666666667
Configuracao com 30 neuronios =============================================
Run: 1 - Acuracia: 0.9
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.9333333333333333
Run: 5 - Acuracia: 0.8666666666666667
Run: 6 - Acuracia: 0.8666666666666667
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.8
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 35 neuronios =============================================
Run: 1 - Acuracia: 0.8333333333333334
Run: 2 - Acuracia: 0.9666666666666667
Run: 3 - Acuracia: 0.9
Run: 4 - Acuracia: 0.8333333333333334
Run: 5 - Acuracia: 0.9333333333333333
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.9333333333333333
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 1.0
Configuracao com 40 neuronios =============================================
Run: 1 - Acuracia: 1.0
Run: 2 - Acuracia: 0.9666666666666667
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.8333333333333334
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.9666666666666667
Run: 8 - Acuracia: 1.0
Run: 9 - Acuracia: 0.8666666666666667
Run: 10 - Acuracia: 0.9666666666666667
