
Configuracao com 5 neuronios =============================================
Run: 1 - Acuracia: 0.8055555555555556
Run: 2 - Acuracia: 0.6111111111111112
Run: 3 - Acuracia: 0.8888888888888888
Run: 4 - Acuracia: 0.9166666666666666
Run: 5 - Acuracia: 0.8055555555555556
Run: 6 - Acuracia: 0.8888888888888888
Run: 7 - Acuracia: 0.8055555555555556
Run: 8 - Acuracia: 0.8611111111111112
Run: 9 - Acuracia: 0.7777777777777778
Run: 10 - Acuracia: 0.7222222222222222
Configuracao com 15 neuronios =============================================
Run: 1 - Acuracia: 0.9166666666666666
Run: 2 - Acuracia: 0.9444444444444444
Run: 3 - Acuracia: 0.9444444444444444
Run: 4 - Acuracia: 1.0
Run: 5 - Acuracia: 0.9722222222222222
Run: 6 - Acuracia: 0.9166666666666666
Run: 7 - Acuracia: 0.9166666666666666
Run: 8 - Acuracia: 0.8611111111111112
Run: 9 - Acuracia: 0.9722222222222222
Run: 10 - Acuracia: 0.9444444444444444
Configuracao com 25 neuronios =============================================
Run: 1 - Acuracia: 0.9722222222222222
Run: 2 - Acuracia: 0.9722222222222222
Run: 3 - Acuracia: 0.9722222222222222
Run: 4 - Acuracia: 0.9722222222222222
Run: 5 - Acuracia: 0.8888888888888888
Run: 6 - Acuracia: 0.8611111111111112
Run: 7 - Acuracia: 1.0
Run: 8 - Acuracia: 1.0
Run: 9 - Acuracia: 1.0
Run: 10 - Acuracia: 1.0
Configuracao com 35 neuronios =============================================
Run: 1 - Acuracia: 0.9444444444444444
Run: 2 - Acuracia: 0.9722222222222222
Run: 3 - Acuracia: 0.9722222222222222
Run: 4 - Acuracia: 0.9444444444444444
Run: 5 - Acuracia: 0.9722222222222222
Run: 6 - Acuracia: 0.9722222222222222
Run: 7 - Acuracia: 0.9722222222222222
Run: 8 - Acuracia: 0.9722222222222222
Run: 9 - Acuracia: 0.9444444444444444
Run: 10 - Acuracia: 0.9166666666666666
Configuracao com 45 neuronios =============================================
Run: 1 - Acuracia: 0.8888888888888888
Run: 2 - Acuracia: 0.9166666666666666
Run: 3 - Acuracia: 0.9444444444444444
Run: 4 - Acuracia: 0.9444444444444444
Run: 5 - Acuracia: 0.9166666666666666
Run: 6 - Acuracia: 0.9444444444444444
Run: 7 - Acuracia: 0.8611111111111112
Run: 8 - Acuracia: 0.9444444444444444
Run: 9 - Acuracia: 0.9444444444444444
Run: 10 - Acuracia: 0.9166666666666666
Configuracao com 55 neuronios =============================================
Run: 1 - Acuracia: 0.9722222222222222
Run: 2 - Acuracia: 0.8611111111111112
Run: 3 - Acuracia: 0.9444444444444444
Run: 4 - Acuracia: 0.9166666666666666
Run: 5 - Acuracia: 0.9444444444444444
Run: 6 - Acuracia: 0.9166666666666666
Run: 7 - Acuracia: 0.9722222222222222
Run: 8 - Acuracia: 0.9444444444444444
Run: 9 - Acuracia: 0.9444444444444444
Run: 10 - Acuracia: 0.8888888888888888
Configuracao com 65 neuronios =============================================
Run: 1 - Acuracia: 0.8888888888888888
Run: 2 - Acuracia: 0.9722222222222222
Run: 3 - Acuracia: 0.9722222222222222
Run: 4 - Acuracia: 0.9722222222222222
Run: 5 - Acuracia: 0.9722222222222222
Run: 6 - Acuracia: 0.9444444444444444
Run: 7 - Acuracia: 0.9444444444444444
Run: 8 - Acuracia: 0.9444444444444444
Run: 9 - Acuracia: 0.8611111111111112
Run: 10 - Acuracia: 1.0
Configuracao com 75 neuronios =============================================
Run: 1 - Acuracia: 0.9166666666666666
Run: 2 - Acuracia: 0.9722222222222222
Run: 3 - Acuracia: 1.0
Run: 4 - Acuracia: 1.0
Run: 5 - Acuracia: 0.9722222222222222
Run: 6 - Acuracia: 0.9444444444444444
Run: 7 - Acuracia: 0.9722222222222222
Run: 8 - Acuracia: 0.9166666666666666
Run: 9 - Acuracia: 0.9444444444444444
Run: 10 - Acuracia: 0.9444444444444444
Configuracao com 85 neuronios =============================================
Run: 1 - Acuracia: 1.0
Run: 2 - Acuracia: 0.8888888888888888
Run: 3 - Acuracia: 0.9166666666666666
Run: 4 - Acuracia: 0.8888888888888888
Run: 5 - Acuracia: 0.8888888888888888
Run: 6 - Acuracia: 0.9722222222222222
Run: 7 - Acuracia: 0.9166666666666666
Run: 8 - Acuracia: 0.9722222222222222
Run: 9 - Acuracia: 0.9722222222222222
Run: 10 - Acuracia: 0.9166666666666666
Configuracao com 95 neuronios =============================================
Run: 1 - Acuracia: 1.0
Run: 2 - Acuracia: 0.9166666666666666
Run: 3 - Acuracia: 0.9166666666666666
Run: 4 - Acuracia: 0.8333333333333334
Run: 5 - Acuracia: 0.8888888888888888
Run: 6 - Acuracia: 0.8611111111111112
Run: 7 - Acuracia: 0.8611111111111112
Run: 8 - Acuracia: 0.9722222222222222
Run: 9 - Acuracia: 0.9444444444444444
Run: 10 - Acuracia: 0.9444444444444444
Configuracao com 5 neuronios =============================================
Run: 1 - Acuracia: 0.9166666666666666
